Country,City,Location_ID,Location_Name,Type_of_Attraction,Attraction_Category,Latitude,Longitude,Date,PedsSen_Count,Weather_Temperature,Weather_Wind_Gust,Weather_Relative_Humidity,Weather_Precipitation,Is_Holiday
New Zealand,Auckland,NZAUK_1,Sky Tower,Observation Tower,Entertainment,-36.8485,174.7633,2021-01-01,36620.0,18.858334,18.749998,78.87771,0.70000005,1
New Zealand,Auckland,NZAUK_1,Sky Tower,Observation Tower,Entertainment,-36.8485,174.7633,2021-01-02,35415.0,18.966665,19.724998,86.536705,15.800002,1
New Zealand,Auckland,NZAUK_1,Sky Tower,Observation Tower,Entertainment,-36.8485,174.7633,2021-01-03,37663.0,18.820837,23.085,87.366516,19.7,0
New Zealand,Auckland,NZAUK_1,Sky Tower,Observation Tower,Entertainment,-36.8485,174.7633,2021-01-04,41416.0,19.887499,20.654999,80.15483,1.2,1
New Zealand,Auckland,NZAUK_1,Sky Tower,Observation Tower,Entertainment,-36.8485,174.7633,2021-01-05,55131.0,20.666666,14.73,81.36724,0.5,0
New Zealand,Auckland,NZAUK_1,Sky Tower,Observation Tower,Entertainment,-36.8485,174.7633,2021-01-06,53695.0,20.729166,25.769999,76.58532,0.0,0
New Zealand,Auckland,NZAUK_1,Sky Tower,Observation Tower,Entertainment,-36.8485,174.7633,2021-01-07,58715.0,19.99375,19.664999,83.3534,3.9,0
New Zealand,Auckland,NZAUK_1,Sky Tower,Observation Tower,Entertainment,-36.8485,174.7633,2021-01-08,61342.0,19.779167,22.619999,82.93931,20.5,0
New Zealand,Auckland,NZAUK_1,Sky Tower,Observation Tower,Entertainment,-36.8485,174.7633,2021-01-09,51377.0,19.843748,16.949997,81.506996,1.8000001,0
New Zealand,Auckland,NZAUK_1,Sky Tower,Observation Tower,Entertainment,-36.8485,174.7633,2021-01-10,38325.0,20.108334,28.859999,76.20948,0.3,0
New Zealand,Auckland,NZAUK_1,Sky Tower,Observation Tower,Entertainment,-36.8485,174.7633,2021-01-11,52523.0,19.25625,33.33,66.61978,0.3,0
New Zealand,Auckland,NZAUK_1,Sky Tower,Observation Tower,Entertainment,-36.8485,174.7633,2021-01-12,60837.0,19.8375,24.764997,76.880714,0.1,0
